candidate_id,rank,score,reasoning
CAND_0000031,1,1.0000,"Senior candidate matching the 6.0-year profile perfectly; strong in embeddings, pinecone, faiss with a 60-day notice and based in a target location (Hyderabad, Telangana)."
CAND_0002025,2,1.0000,"Strong fit with 5.9 years in software engineering; strong in pinecone, weaviate, opensearch, academic background from a Tier-1 school, and highly active on Redrob (80% response rate)."
CAND_0005260,3,1.0000,"Senior candidate matching the 5.2-year profile perfectly; strong in embeddings, python, lora with a 60-day notice and based in a target location (Chennai, Tamil Nadu)."
CAND_0006418,4,1.0000,"Senior candidate matching the 5.7-year profile perfectly; strong in embeddings, weaviate, qdrant with a 60-day notice and based in a target location (Gurgaon, Haryana)."
CAND_0006557,5,1.0000,"Outstanding NLP Engineer with 7.9 years of experience; strong in vector search, pinecone, weaviate and based in Jaipur, Rajasthan with 120-day notice."
CAND_0007009,6,1.0000,"Senior candidate matching the 7.9-year profile perfectly; strong in embeddings, weaviate, opensearch with a 30-day notice and based in a target location (Noida, Uttar Pradesh)."
CAND_0007412,7,1.0000,"Outstanding Applied ML Engineer with 7.4 years of experience; strong in pinecone, milvus and based in Noida, Uttar Pradesh with 120-day notice."
CAND_0007460,8,1.0000,"Outstanding AI Engineer with 4.7 years of experience; strong in embeddings, weaviate, lora and based in Pune, Maharashtra with 120-day notice."
CAND_0008425,9,1.0000,"Senior candidate matching the 7.8-year profile perfectly; strong in qdrant, python, lora with a 90-day notice and based in a target location (Kolkata, West Bengal)."
CAND_0008978,10,1.0000,"Outstanding Junior ML Engineer with 6.7 years of experience; strong in embeddings, milvus, elasticsearch and based in Pune, Maharashtra with 90-day notice."
CAND_0009024,11,1.0000,"Strong fit with 5.2 years in software engineering; strong in qdrant, opensearch, faiss, academic background from a Tier-1 school, and highly active on Redrob (46% response rate)."
CAND_0009691,12,1.0000,"Senior candidate matching the 6.2-year profile perfectly; strong in pinecone, qdrant, faiss with a 120-day notice and based in a target location (Indore, Madhya Pradesh)."
CAND_0009837,13,1.0000,"Strong fit with 4.3 years in software engineering; strong in qdrant, faiss, python, academic background from a Tier-1 school, and highly active on Redrob (53% response rate)."
CAND_0010149,14,1.0000,"Strong fit with 6.9 years in software engineering; strong in vector search, milvus, elasticsearch, academic background from a Tier-1 school, and highly active on Redrob (82% response rate)."
CAND_0010257,15,1.0000,"Strong fit with 6.5 years in software engineering; strong in qdrant, milvus, opensearch, academic background from a Tier-2 school, and highly active on Redrob (72% response rate)."
CAND_0011162,16,1.0000,"Outstanding Recommendation Systems Engineer with 5.8 years of experience; strong in embeddings, vector search, pinecone and based in Coimbatore, Tamil Nadu with 90-day notice."
CAND_0011687,17,1.0000,"Outstanding Senior NLP Engineer with 7.8 years of experience; strong in embeddings, weaviate, opensearch and based in Indore, Madhya Pradesh with 15-day notice."
CAND_0012957,18,1.0000,"Strong fit with 4.9 years in software engineering; strong in embeddings, qdrant, python, academic background from a Tier-2 school, and highly active on Redrob (67% response rate)."
CAND_0013393,19,1.0000,"Senior candidate matching the 5.3-year profile perfectly; strong in embeddings, pinecone, qdrant with a 60-day notice and based in a target location (Bangalore, Karnataka)."
CAND_0014440,20,1.0000,"Senior candidate matching the 6.4-year profile perfectly; strong in qdrant, milvus, elasticsearch with a 60-day notice and based in a target location (Chennai, Tamil Nadu)."
CAND_0015057,21,1.0000,"Strong fit with 4.6 years in software engineering; strong in embeddings, vector search, qdrant, academic background from a Tier-2 school, and highly active on Redrob (85% response rate)."
CAND_0015528,22,1.0000,"Strong fit with 7.4 years in software engineering; strong in weaviate, opensearch, faiss, academic background from a Tier-1 school, and highly active on Redrob (53% response rate)."
CAND_0015578,23,1.0000,"Outstanding AI Engineer with 5.4 years of experience; strong in embeddings, pinecone, faiss and based in Delhi, Delhi with 90-day notice."
